desde;hasta;carga
5/4/2021;12/4/2021;84380
12/4/2021;19/4/2021;84161
19/4/2021;26/4/2021;83950
26/4/2021;2/5/2021;84340
2/5/2021;10/5/2021;84340
10/5/2021;16/5/2021;83002
16/5/2021;23/5/2021;82206
23/5/2021;31/5/2021;83694
31/5/2021;6/6/2021;80030
6/6/2021;13/6/2021;80622
13/6/2021;21/6/2021;81150
21/6/2021;27/6/2021;80446
27/6/2021;4/7/2021;80612
4/7/2021;12/7/2021;80270
12/7/2021;18/7/2021;79212
18/7/2021;26/7/2021;77330
26/7/2021;2/8/2021;77330
2/8/2021;8/8/2021;75096
8/8/2021;16/8/2021;73741
16/8/2021;22/8/2021;73370
22/8/2021;30/8/2021;74958
30/8/2021;6/9/2021;74804
6/9/2021;12/9/2021;76000
12/9/2021;19/9/2021;75912
19/9/2021;26/9/2021;75720
26/9/2021;3/10/2021;75439
3/10/2021;10/10/2021;74420
10/10/2021;17/10/2021;74393
17/10/2021;24/10/2021;75180
24/10/2021;1/11/2021;76192
1/11/2021;7/11/2021;75691
7/11/2021;14/11/2021;75197
14/11/2021;21/11/2021;75804
21/11/2021;28/11/2021;75417
28/11/2021;5/12/2021;74679
5/12/2021;12/12/2021;73853
12/12/2021;20/12/2021;73694
20/12/2021;26/12/2021;73212
26/12/2021;3/1/2022;73320
3/1/2022;9/1/2022;73944
9/1/2022;17/1/2022;73417
17/1/2022;23/1/2022;73150
23/1/2022;31/1/2022;73363
31/1/2022;6/2/2022;73378
6/2/2022;13/2/2022;72423
13/2/2022;20/2/2022;71581
20/2/2022;1/3/2022;72184
1/3/2022;6/3/2022;72888
6/3/2022;13/3/2022;72863
13/3/2022;20/3/2022;72659
20/3/2022;28/3/2022;72630
28/3/2022;3/4/2022;72587
3/4/2022;11/4/2022;72372
11/4/2022;17/4/2022;72218
17/4/2022;24/4/2022;72985
24/4/2022;1/5/2022;72473
1/5/2022;9/5/2022;71744
9/5/2022;15/5/2022;71182
15/5/2022;23/5/2022;71269
23/5/2022;29/5/2022;70622
29/5/2022;5/6/2022;69960
5/6/2022;12/6/2022;71742
12/6/2022;19/6/2022;73091
19/6/2022;26/6/2022;72432
26/6/2022;3/7/2022;70677
3/7/2022;11/7/2022;71390
11/7/2022;17/7/2022;71038
17/7/2022;24/7/2022;72034
24/7/2022;31/7/2022;72416
31/7/2022;7/8/2022;72477
7/8/2022;15/8/2022;71921
15/8/2022;21/8/2022;71996
21/8/2022;28/8/2022;71096
28/8/2022;5/9/2022;72481
5/9/2022;12/9/2022;71953
12/9/2022;18/9/2022;70387
18/9/2022;25/9/2022;71646
25/9/2022;2/10/2022;72103
2/10/2022;9/10/2022;71625
9/10/2022;16/10/2022;72241
16/10/2022;24/10/2022;71954
24/10/2022;30/10/2022;71938
30/10/2022;6/11/2022;71881
6/11/2022;13/11/2022;71960
13/11/2022;20/11/2022;71672
20/11/2022;27/11/2022;71284
27/11/2022;5/12/2022;72759
5/12/2022;11/12/2022;72309
11/12/2022;18/12/2022;71586
18/12/2022;25/12/2022;71610
25/12/2022;2/1/2023;71600
2/1/2023;8/1/2023;71607
8/1/2023;15/1/2023;70789
15/1/2023;22/1/2023;70975
22/1/2023;29/1/2023;71140
29/1/2023;5/2/2023;71140
5/2/2023;13/2/2023;70948
13/2/2023;19/2/2023;70259
19/2/2023;26/2/2023;71470
26/2/2023;5/3/2023;71639
5/3/2023;12/3/2023;71660
12/3/2023;19/3/2023;71624
19/3/2023;26/3/2023;71813
26/3/2023;2/4/2023;72200
2/4/2023;9/4/2023;71665
9/4/2023;16/4/2023;71521
16/4/2023;23/4/2023;71260
23/4/2023;30/4/2023;71265
30/4/2023;7/5/2023;71290
7/5/2023;14/5/2023;71294
14/5/2023;21/5/2023;71320
21/5/2023;28/5/2023;71320
28/5/2023;4/6/2023;71278
4/6/2023;11/6/2023;71259
11/6/2023;18/6/2023;70724
18/6/2023;25/6/2023;70775
25/6/2023;2/7/2023;70798
2/7/2023;9/7/2023;70969
9/7/2023;16/7/2023;70129
16/7/2023;23/7/2023;69440
